timestamp,ch1_celsius,ch2_celsius,ch3_celsius,ch4_celsius
2025-12-03T19:53:30.183266,23.4,23.7,ERROR,ERROR
2025-12-03T19:53:31.207579,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:32.231789,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:33.256265,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:34.281359,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:35.311645,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:36.335919,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:37.360150,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:38.384667,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:39.408687,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:40.433326,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:41.457399,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:42.481697,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:43.505927,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:44.530427,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:45.554736,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:46.578949,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:47.603586,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:48.627698,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:49.651929,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:50.676341,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:51.701107,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:52.725016,23.4,23.6,ERROR,ERROR
2025-12-03T19:53:53.749027,23.4,23.5,ERROR,ERROR
2025-12-03T19:53:54.772399,23.4,23.5,ERROR,ERROR
2025-12-03T19:53:55.796720,23.4,23.5,ERROR,ERROR
2025-12-03T19:53:56.821080,23.4,23.5,ERROR,ERROR
2025-12-03T19:53:57.845202,23.4,23.5,ERROR,ERROR
2025-12-03T19:53:58.870475,23.4,23.5,ERROR,ERROR
2025-12-03T19:53:59.895255,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:00.920224,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:01.943533,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:02.967838,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:03.992239,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:05.015514,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:06.041069,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:07.066221,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:08.090585,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:09.114756,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:10.138799,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:11.163248,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:12.186774,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:13.211054,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:14.235219,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:15.258709,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:16.282965,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:17.307319,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:18.331908,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:19.355810,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:20.381060,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:21.404553,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:22.429996,23.4,23.5,ERROR,ERROR
2025-12-03T19:54:23.454001,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:24.478439,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:25.502682,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:26.526888,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:27.551428,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:28.576371,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:29.600901,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:30.625132,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:31.657437,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:32.681731,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:33.705946,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:34.730617,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:35.754427,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:36.778829,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:37.803210,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:38.827465,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:39.851957,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:40.876238,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:41.899556,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:42.924755,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:43.949082,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:44.973632,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:45.997780,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:47.022004,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:48.046229,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:49.069791,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:50.094111,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:51.118273,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:52.142504,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:53.167395,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:54.192299,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:55.217541,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:56.242068,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:57.267072,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:58.290535,23.4,23.4,ERROR,ERROR
2025-12-03T19:54:59.314810,23.4,23.4,ERROR,ERROR
