timestamp,ch1_celsius,ch2_celsius,ch3_celsius,ch4_celsius
2025-12-03T16:48:33.496817,25.3,ERROR,ERROR,ERROR
2025-12-03T16:48:34.020421,25.4,ERROR,ERROR,ERROR
2025-12-03T16:48:34.546881,25.4,ERROR,ERROR,ERROR
2025-12-03T16:48:35.070664,25.5,ERROR,ERROR,ERROR
2025-12-03T16:48:35.596188,25.5,ERROR,ERROR,ERROR
2025-12-03T16:48:36.119551,25.5,ERROR,ERROR,ERROR
2025-12-03T16:48:36.643530,25.6,ERROR,ERROR,ERROR
2025-12-03T16:48:37.167981,25.6,ERROR,ERROR,ERROR
2025-12-03T16:48:37.694909,25.7,ERROR,ERROR,ERROR
2025-12-03T16:48:38.218898,25.7,ERROR,ERROR,ERROR
2025-12-03T16:48:38.742298,25.8,ERROR,ERROR,ERROR
2025-12-03T16:48:39.267021,25.8,ERROR,ERROR,ERROR
2025-12-03T16:48:39.790702,25.8,ERROR,ERROR,ERROR
2025-12-03T16:48:40.315178,25.9,ERROR,ERROR,ERROR
2025-12-03T16:48:40.839648,25.9,ERROR,ERROR,ERROR
2025-12-03T16:48:41.363582,26.0,ERROR,ERROR,ERROR
2025-12-03T16:48:41.887927,26.0,ERROR,ERROR,ERROR
2025-12-03T16:48:42.412537,26.1,ERROR,ERROR,ERROR
2025-12-03T16:48:42.935859,26.1,ERROR,ERROR,ERROR
2025-12-03T16:48:43.459516,26.2,ERROR,ERROR,ERROR
2025-12-03T16:48:43.983023,26.2,ERROR,ERROR,ERROR
2025-12-03T16:48:44.506692,26.2,ERROR,ERROR,ERROR
2025-12-03T16:48:45.031342,26.3,ERROR,ERROR,ERROR
2025-12-03T16:48:45.555743,26.3,ERROR,ERROR,ERROR
2025-12-03T16:48:46.080404,26.4,ERROR,ERROR,ERROR
2025-12-03T16:48:46.604770,26.4,ERROR,ERROR,ERROR
2025-12-03T16:48:47.129224,26.5,ERROR,ERROR,ERROR
2025-12-03T16:48:47.656580,26.5,ERROR,ERROR,ERROR
2025-12-03T16:48:48.180667,26.5,ERROR,ERROR,ERROR
2025-12-03T16:48:48.704098,26.6,ERROR,ERROR,ERROR
2025-12-03T16:48:49.227723,26.6,ERROR,ERROR,ERROR
2025-12-03T16:48:49.752138,26.7,ERROR,ERROR,ERROR
2025-12-03T16:48:50.275774,26.7,ERROR,ERROR,ERROR
2025-12-03T16:48:50.800314,26.8,ERROR,ERROR,ERROR
2025-12-03T16:48:51.323861,26.9,ERROR,ERROR,ERROR
2025-12-03T16:48:51.849290,26.9,ERROR,ERROR,ERROR
2025-12-03T16:48:52.372840,26.9,ERROR,ERROR,ERROR
2025-12-03T16:48:52.898933,27.0,ERROR,ERROR,ERROR
2025-12-03T16:48:53.422893,27.0,ERROR,ERROR,ERROR
2025-12-03T16:48:53.946553,27.1,ERROR,ERROR,ERROR
2025-12-03T16:48:54.470463,27.1,ERROR,ERROR,ERROR
2025-12-03T16:48:54.994957,27.2,ERROR,ERROR,ERROR
2025-12-03T16:48:55.518249,27.2,ERROR,ERROR,ERROR
2025-12-03T16:48:56.042677,27.3,ERROR,ERROR,ERROR
2025-12-03T16:48:56.566350,27.3,ERROR,ERROR,ERROR
2025-12-03T16:48:57.090125,27.3,ERROR,ERROR,ERROR
2025-12-03T16:48:57.613599,27.4,ERROR,ERROR,ERROR
2025-12-03T16:48:58.137163,27.4,ERROR,ERROR,ERROR
2025-12-03T16:48:58.660675,27.5,ERROR,ERROR,ERROR
2025-12-03T16:48:59.184512,27.5,ERROR,ERROR,ERROR
2025-12-03T16:48:59.708750,27.6,ERROR,ERROR,ERROR
2025-12-03T16:49:00.232389,27.6,ERROR,ERROR,ERROR
2025-12-03T16:49:00.756903,27.6,ERROR,ERROR,ERROR
2025-12-03T16:49:01.280532,27.7,ERROR,ERROR,ERROR
2025-12-03T16:49:01.805967,27.8,ERROR,ERROR,ERROR
2025-12-03T16:49:02.330865,27.8,ERROR,ERROR,ERROR
2025-12-03T16:49:02.855147,27.9,ERROR,ERROR,ERROR
2025-12-03T16:49:03.378766,27.9,ERROR,ERROR,ERROR
2025-12-03T16:49:03.904179,28.0,ERROR,ERROR,ERROR
2025-12-03T16:49:04.428047,28.0,ERROR,ERROR,ERROR
2025-12-03T16:49:04.952510,28.0,ERROR,ERROR,ERROR
2025-12-03T16:49:05.476009,28.1,ERROR,ERROR,ERROR
2025-12-03T16:49:06.000049,28.1,ERROR,ERROR,ERROR
2025-12-03T16:49:06.524322,28.2,ERROR,ERROR,ERROR
2025-12-03T16:49:07.047664,28.2,ERROR,ERROR,ERROR
2025-12-03T16:49:07.571395,28.3,ERROR,ERROR,ERROR
2025-12-03T16:49:08.095118,28.3,ERROR,ERROR,ERROR
2025-12-03T16:49:08.618590,28.4,ERROR,ERROR,ERROR
2025-12-03T16:49:09.144331,28.4,ERROR,ERROR,ERROR
2025-12-03T16:49:09.670739,28.4,ERROR,ERROR,ERROR
2025-12-03T16:49:10.195270,28.5,ERROR,ERROR,ERROR
2025-12-03T16:49:10.718862,28.5,ERROR,ERROR,ERROR
2025-12-03T16:49:11.251376,28.6,ERROR,ERROR,ERROR
2025-12-03T16:49:11.775667,28.6,ERROR,ERROR,ERROR
2025-12-03T16:49:12.299451,28.7,ERROR,ERROR,ERROR
2025-12-03T16:49:12.823063,28.7,ERROR,ERROR,ERROR
2025-12-03T16:49:13.350636,28.7,ERROR,ERROR,ERROR
2025-12-03T16:49:13.875344,28.8,ERROR,ERROR,ERROR
2025-12-03T16:49:14.404702,28.8,ERROR,ERROR,ERROR
2025-12-03T16:49:14.928238,28.9,ERROR,ERROR,ERROR
2025-12-03T16:49:15.451837,29.0,ERROR,ERROR,ERROR
2025-12-03T16:49:15.975402,29.0,ERROR,ERROR,ERROR
2025-12-03T16:49:16.498841,29.1,ERROR,ERROR,ERROR
2025-12-03T16:49:17.023450,29.1,ERROR,ERROR,ERROR
2025-12-03T16:49:17.547003,29.1,ERROR,ERROR,ERROR
2025-12-03T16:49:18.070688,29.1,ERROR,ERROR,ERROR
2025-12-03T16:49:18.597742,29.2,ERROR,ERROR,ERROR
2025-12-03T16:49:19.121920,29.2,ERROR,ERROR,ERROR
2025-12-03T16:49:19.645583,29.3,ERROR,ERROR,ERROR
2025-12-03T16:49:20.170148,29.3,ERROR,ERROR,ERROR
2025-12-03T16:49:20.695954,29.4,ERROR,ERROR,ERROR
2025-12-03T16:49:21.220279,29.4,ERROR,ERROR,ERROR
2025-12-03T16:49:21.744813,29.4,ERROR,ERROR,ERROR
2025-12-03T16:49:22.269132,29.5,ERROR,ERROR,ERROR
2025-12-03T16:49:22.795747,29.5,ERROR,ERROR,ERROR
2025-12-03T16:49:23.319354,29.6,ERROR,ERROR,ERROR
2025-12-03T16:49:23.843633,29.7,ERROR,ERROR,ERROR
2025-12-03T16:49:24.367552,29.7,ERROR,ERROR,ERROR
2025-12-03T16:49:24.891042,29.8,ERROR,ERROR,ERROR
2025-12-03T16:49:25.414570,29.8,ERROR,ERROR,ERROR
2025-12-03T16:49:25.938328,29.8,ERROR,ERROR,ERROR
2025-12-03T16:49:26.464959,29.9,ERROR,ERROR,ERROR
2025-12-03T16:49:26.990343,29.9,ERROR,ERROR,ERROR
2025-12-03T16:49:27.513815,30.0,ERROR,ERROR,ERROR
